age,sex,race,priors_count,juv_fel_count,c_charge_degree,decile_score,score_text,predicted_label,two_year_recid,true_label
48,Male,Caucasian,1,0,F,3,Low,0,0,0
47,Male,African-American,1,1,M,5,Medium,1,0,0
46,Male,African-American,1,1,F,5,Medium,1,0,0
59,Male,African-American,3,0,F,6,Medium,1,0,0
23,Male,Caucasian,1,0,M,4,Low,0,0,0
20,Male,African-American,1,0,F,7,Medium,1,0,0
45,Male,African-American,0,0,M,4,Low,0,0,0
27,Male,Other,1,2,F,5,Medium,0,1,1
51,Male,African-American,1,0,M,4,Low,0,0,0
18,Female,African-American,0,0,M,6,Medium,1,0,0
29,Male,Caucasian,3,0,M,4,Low,1,0,0
53,Male,African-American,1,0,F,5,Medium,1,0,0
49,Male,Caucasian,4,1,M,5,Medium,1,1,1
28,Female,Caucasian,2,0,M,4,Low,0,1,1
18,Male,African-American,2,0,F,7,Medium,1,1,1
23,Male,Caucasian,2,0,M,5,Medium,1,0,0
44,Male,Caucasian,2,1,F,5,Medium,1,0,0
32,Male,Caucasian,2,0,F,4,Low,1,0,0
27,Female,African-American,4,1,F,8,High,1,1,1
41,Male,African-American,0,0,M,4,Low,0,0,0
25,Male,Hispanic,1,0,M,4,Low,0,0,0
34,Male,Caucasian,0,0,M,3,Low,0,0,0
41,Male,African-American,0,1,M,5,Medium,1,0,0
30,Female,Caucasian,2,0,M,4,Low,0,0,0
26,Male,African-American,2,0,F,6,Medium,1,0,0
23,Male,Caucasian,3,2,M,7,Medium,1,1,1
46,Male,Caucasian,3,0,M,3,Low,0,0,0
40,Male,Hispanic,3,0,M,5,Medium,1,0,0
39,Male,African-American,2,0,M,6,Medium,1,0,0
38,Male,Caucasian,2,0,F,4,Low,0,0,0
34,Male,Caucasian,1,1,M,4,Low,0,0,0
51,Female,African-American,2,0,F,5,Medium,1,0,0
43,Male,Caucasian,0,0,F,3,Low,0,0,0
42,Male,African-American,1,1,F,6,Medium,1,1,1
55,Male,African-American,1,1,F,5,Medium,1,0,0
20,Male,African-American,5,0,F,9,High,1,1,1
20,Male,African-American,4,0,F,8,High,1,1,1
31,Male,African-American,2,0,F,6,Medium,1,1,1
59,Male,African-American,1,0,M,4,Low,0,0,0
27,Male,Caucasian,0,1,M,3,Low,0,0,0
19,Male,African-American,0,0,F,6,Medium,1,0,0
24,Male,Hispanic,2,1,F,7,Medium,1,1,1
31,Male,African-American,4,0,F,7,Medium,1,1,1
34,Male,Caucasian,4,0,M,5,Medium,1,1,1
27,Female,African-American,3,0,F,7,Medium,1,0,0
52,Male,Caucasian,2,0,F,3,Low,0,0,0
62,Male,African-American,1,1,M,5,Medium,1,0,0
44,Male,Caucasian,3,0,M,4,Low,1,1,1
20,Female,African-American,2,0,F,7,Medium,1,1,1
64,Male,African-American,3,0,F,6,Medium,1,0,0
42,Male,African-American,3,0,M,6,Medium,1,0,0
24,Male,African-American,1,0,M,6,Medium,1,0,0
30,Male,African-American,1,1,M,6,Medium,1,0,0
56,Male,African-American,0,0,F,4,Low,1,0,0
60,Male,Caucasian,4,0,M,4,Low,1,0,0
63,Male,African-American,3,0,F,6,Medium,1,0,0
42,Male,Caucasian,3,0,F,5,Medium,1,0,0
60,Male,Caucasian,2,0,F,3,Low,0,0,0
46,Male,Caucasian,0,1,F,3,Low,0,0,0
36,Female,Caucasian,3,0,F,5,Medium,1,1,1
56,Male,Caucasian,2,0,M,3,Low,0,0,0
39,Male,Caucasian,3,0,M,4,Low,0,1,1
19,Male,Hispanic,3,0,F,7,Medium,1,1,1
39,Male,Caucasian,0,0,F,3,Low,0,0,0
52,Male,African-American,0,0,M,3,Low,0,0,0
51,Male,African-American,2,0,F,5,Medium,1,0,0
22,Male,African-American,5,0,M,9,High,1,1,1
44,Male,Asian,0,1,F,3,Low,0,1,1
35,Male,Hispanic,2,0,M,4,Low,0,0,0
20,Male,African-American,1,1,M,7,Medium,1,1,1
64,Male,Hispanic,3,0,M,4,Low,0,0,0
38,Male,African-American,2,0,M,6,Medium,1,0,0
41,Female,African-American,1,0,M,5,Medium,1,0,0
43,Male,Caucasian,3,0,M,4,Low,1,0,0
37,Male,Caucasian,1,0,F,4,Low,0,0,0
30,Male,African-American,2,0,M,6,Medium,1,0,0
23,Female,Other,1,0,M,4,Low,0,0,0
43,Female,African-American,2,0,M,6,Medium,1,0,0
60,Male,African-American,2,2,F,7,Medium,1,1,1
47,Male,African-American,0,0,F,4,Low,0,0,0
31,Male,Hispanic,0,0,M,3,Low,0,0,0
64,Male,African-American,0,0,M,3,Low,0,0,0
54,Female,Caucasian,3,1,M,4,Low,1,0,0
55,Female,Caucasian,2,1,F,4,Low,0,0,0
47,Male,African-American,2,0,M,5,Medium,1,0,0
32,Male,Caucasian,4,1,M,6,Medium,1,1,1
36,Male,African-American,1,0,M,5,Medium,0,0,0
